task_id,he_task_id,trial_index,latency_ms,correct,pass_count,total_tests,http_status,timestamp
HumanEval_34,HumanEval/34,0,7009.95,True,1,1,200,2026-07-25T11:16:55.895253+00:00
HumanEval_35,HumanEval/35,0,19007.52,False,0,2,500,2026-07-25T11:17:41.212295+00:00
HumanEval_36,HumanEval/36,0,7113.11,True,8,8,200,2026-07-25T11:18:04.977222+00:00
HumanEval_39,HumanEval/39,0,4337.64,False,0,10,200,2026-07-25T11:18:28.990508+00:00
HumanEval_40,HumanEval/40,0,7397.54,True,9,9,200,2026-07-25T11:18:55.099285+00:00
HumanEval_41,HumanEval/41,0,7090.1,True,5,5,200,2026-07-25T11:19:14.353882+00:00
HumanEval_42,HumanEval/42,0,6742.28,True,3,3,200,2026-07-25T11:19:30.179922+00:00
HumanEval_43,HumanEval/43,0,6607.4,True,9,9,200,2026-07-25T11:19:55.007558+00:00
HumanEval_44,HumanEval/44,0,6971.46,True,6,6,200,2026-07-25T11:20:16.089957+00:00
HumanEval_45,HumanEval/45,0,7186.28,True,3,3,200,2026-07-25T11:20:34.432897+00:00
HumanEval_46,HumanEval/46,0,6988.05,False,0,4,200,2026-07-25T11:20:51.878524+00:00
HumanEval_47,HumanEval/47,0,495.84,True,5,5,200,2026-07-25T11:21:04.536978+00:00
HumanEval_48,HumanEval/48,0,4387.3,False,0,7,200,2026-07-25T11:21:24.092178+00:00
HumanEval_49,HumanEval/49,0,6980.07,True,7,7,200,2026-07-25T11:21:46.187791+00:00
HumanEval_51,HumanEval/51,0,7101.79,True,7,7,200,2026-07-25T11:22:09.685952+00:00
HumanEval_53,HumanEval/53,0,6925.98,True,5,5,200,2026-07-25T11:22:28.596513+00:00
HumanEval_54,HumanEval/54,0,7678.53,True,7,7,200,2026-07-25T11:22:51.547229+00:00
HumanEval_55,HumanEval/55,0,4143.26,True,5,5,200,2026-07-25T11:23:07.698863+00:00
HumanEval_57,HumanEval/57,0,7176.96,True,8,8,200,2026-07-25T11:23:31.384648+00:00
HumanEval_58,HumanEval/58,0,6885.62,True,4,4,200,2026-07-25T11:23:48.711017+00:00
HumanEval_59,HumanEval/59,0,4061.11,False,0,5,200,2026-07-25T11:24:06.108531+00:00
HumanEval_60,HumanEval/60,0,6913.61,True,5,5,200,2026-07-25T11:24:25.071786+00:00
HumanEval_62,HumanEval/62,0,7221.72,True,5,5,200,2026-07-25T11:24:44.361174+00:00
HumanEval_63,HumanEval/63,0,4918.88,False,1,7,200,2026-07-25T11:25:05.057240+00:00
HumanEval_64,HumanEval/64,0,4993.41,False,0,7,200,2026-07-25T11:25:25.221123+00:00
HumanEval_65,HumanEval/65,0,7051.03,False,2,5,200,2026-07-25T11:25:44.371233+00:00
HumanEval_66,HumanEval/66,0,6946.26,False,0,8,200,2026-07-25T11:26:08.238125+00:00
HumanEval_67,HumanEval/67,0,7562.4,True,7,7,200,2026-07-25T11:26:30.966550+00:00
HumanEval_68,HumanEval/68,0,4371.93,False,0,8,500,2026-07-25T11:27:21.870666+00:00
HumanEval_69,HumanEval/69,0,7269.99,True,25,25,200,2026-07-25T11:28:12.441235+00:00
HumanEval_70,HumanEval/70,0,8007.38,True,9,9,200,2026-07-25T11:28:38.961819+00:00
HumanEval_71,HumanEval/71,0,7988.6,False,7,9,200,2026-07-25T11:29:04.942550+00:00
HumanEval_73,HumanEval/73,0,7153.37,True,8,8,200,2026-07-25T11:29:28.652091+00:00
HumanEval_74,HumanEval/74,0,13886.12,True,9,9,200,2026-07-25T11:30:00.166077+00:00
HumanEval_75,HumanEval/75,0,4490.28,False,1,5,200,2026-07-25T11:30:16.756260+00:00
HumanEval_76,HumanEval/76,0,7371.15,False,0,10,200,2026-07-25T11:30:44.269410+00:00
HumanEval_78,HumanEval/78,0,10766.99,False,0,1,500,2026-07-25T11:31:01.044763+00:00
HumanEval_79,HumanEval/79,0,490.78,False,0,4,200,2026-07-25T11:31:12.156896+00:00
HumanEval_80,HumanEval/80,0,7284.31,False,0,8,200,2026-07-25T11:31:37.620992+00:00
HumanEval_81,HumanEval/81,0,8118.04,False,0,6,200,2026-07-25T11:31:59.347527+00:00
HumanEval_82,HumanEval/82,0,10339.68,False,0,16,500,2026-07-25T11:33:54.551109+00:00
HumanEval_83,HumanEval/83,0,68924.46,False,0,5,500,2026-07-25T11:35:17.050810+00:00
HumanEval_84,HumanEval/84,0,1061.27,False,0,5,500,2026-07-25T11:35:31.646676+00:00
HumanEval_85,HumanEval/85,0,1046.63,False,0,4,500,2026-07-25T11:35:44.961060+00:00
HumanEval_86,HumanEval/86,0,799.53,False,0,7,500,2026-07-25T11:36:02.774830+00:00
HumanEval_87,HumanEval/87,0,770.1,False,0,3,500,2026-07-25T11:36:13.100275+00:00
